,0,1,2,3,4,5,6,7,8,9,10,11
0,EviAdapt,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:2,FD001_1-->FD002_0.6,59.2325,28.1477,0.0669,28.1477,0.0669,147058.9301,4776.2048,30.5197,4776.2048,30.5197
3,run_id:2,FD001_1-->FD003_0.6,73.1836,45.6327,0.0102,45.6327,0.0102,159686.5553,23606.6229,1.7351,23606.6229,1.7351
4,run_id:2,FD001_1-->FD004_0.6,61.4324,31.9506,0.0481,31.9506,0.0481,162458.1820,13118.5890,106.2374,13118.5890,106.2374
5,run_id:2,FD002_1-->FD001_0.6,56.9371,26.4816,0.0041,26.4816,0.0041,26725.2214,1438.5669,0.9194,1438.5669,0.9194
6,run_id:2,FD002_1-->FD003_0.6,59.3989,28.8517,0.0403,28.8517,0.0403,40009.6211,1571.9128,4.4752,1571.9128,4.4752
7,run_id:2,FD002_1-->FD004_0.6,58.7525,28.9486,0.1179,28.9486,0.1179,117236.3133,3901.3332,33.0579,3901.3332,33.0579
8,run_id:2,FD003_1-->FD001_0.6,55.4561,22.9975,0.0603,22.9975,0.0603,20966.5128,1272.0325,0.9234,1272.0325,0.9234
9,run_id:2,FD003_1-->FD002_0.6,59.8408,26.6362,0.0557,26.6362,0.0557,106396.9542,6986.8465,100.1297,6986.8465,100.1297
10,run_id:2,FD003_1-->FD004_0.6,49.9123,26.1258,0.1032,26.1258,0.1032,54345.1035,5226.9539,151.3845,5226.9539,151.3845
11,run_id:2,FD004_1-->FD001_0.6,42.5809,20.9352,0.0260,20.9352,0.0260,9574.1148,1339.4138,4.0433,1339.4138,4.0433
12,run_id:2,FD004_1-->FD002_0.6,46.2924,21.2332,0.0500,21.2332,0.0500,28765.9884,2689.8818,49.1873,2689.8818,49.1873
13,run_id:2,FD004_1-->FD003_0.6,46.2085,20.5084,0.0243,20.5084,0.0243,11121.5841,1184.4329,11.6580,1184.4329,11.6580
