,0,1,2,3,4,5,6,7,8,9,10,11
0,GMM,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:2,FD001_1-->FD002_0.6,59.2325,27.0680,0.0702,27.0680,0.0702,147058.9301,5095.7669,12.2806,5095.7669,12.2806
3,run_id:2,FD001_1-->FD003_0.6,73.1836,50.4563,0.0468,50.4563,0.0468,159686.5553,36716.3652,101.0852,36716.3652,101.0852
4,run_id:2,FD001_1-->FD004_0.6,61.4324,31.7239,0.2048,31.7239,0.2048,162458.1820,13321.5697,145.5958,13321.5697,145.5958
5,run_id:2,FD002_1-->FD001_0.6,56.9371,56.9371,0.0000,56.9371,0.0000,26725.2214,26725.2214,0.0000,26725.2214,0.0000
6,run_id:2,FD002_1-->FD003_0.6,59.3989,59.5678,0.0962,59.5678,0.0962,40009.6211,38051.6733,343.3727,38051.6733,343.3727
7,run_id:2,FD002_1-->FD004_0.6,58.7525,60.0613,0.0321,60.0613,0.0321,117236.3133,127253.5886,348.6740,127253.5886,348.6740
8,run_id:2,FD003_1-->FD001_0.6,55.4561,23.0917,0.0774,23.0917,0.0774,20966.5128,1279.5488,4.8912,1279.5488,4.8912
9,run_id:2,FD003_1-->FD002_0.6,59.8408,28.3721,0.1782,28.3721,0.1782,106396.9542,6471.3102,53.4355,6471.3102,53.4355
10,run_id:2,FD003_1-->FD004_0.6,49.9123,27.1841,0.1067,27.1841,0.1067,54345.1035,6513.2124,32.5450,6513.2124,32.5450
11,run_id:2,FD004_1-->FD001_0.6,42.5809,24.5855,0.0499,24.5855,0.0499,9574.1148,1770.7360,10.6168,1770.7360,10.6168
12,run_id:2,FD004_1-->FD002_0.6,46.2924,24.9854,0.2672,24.9854,0.2672,28765.9884,2962.2596,44.2440,2962.2596,44.2440
13,run_id:2,FD004_1-->FD003_0.6,46.2085,23.0830,0.1737,23.0830,0.1737,11121.5841,1313.5576,10.7951,1313.5576,10.7951
