,0,1,2,3,4,5,6,7,8,9,10,11
0,my_alg,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:2,FD001_1-->FD002_0.6,59.2325,27.9967,0.0836,27.9967,0.0836,147058.9301,4758.5994,36.7016,4758.5994,36.7016
3,run_id:2,FD001_1-->FD003_0.6,73.1836,45.0882,0.0065,45.0882,0.0065,159686.5553,21262.3879,21.6400,21262.3879,21.6400
4,run_id:2,FD001_1-->FD004_0.6,61.4324,32.0018,0.0459,32.0018,0.0459,162458.1820,13026.3814,100.3641,13026.3814,100.3641
5,run_id:2,FD002_1-->FD001_0.6,56.9371,25.8780,0.0242,25.8780,0.0242,26725.2214,1344.3767,4.1560,1344.3767,4.1560
6,run_id:2,FD002_1-->FD003_0.6,59.3989,28.5132,0.0170,28.5132,0.0170,40009.6211,1537.3543,4.8504,1537.3543,4.8504
7,run_id:2,FD002_1-->FD004_0.6,58.7525,29.0122,0.1104,29.0122,0.1104,117236.3133,3910.2844,41.1582,3910.2844,41.1582
8,run_id:2,FD003_1-->FD001_0.6,55.4561,23.3434,0.0482,23.3434,0.0482,20966.5128,1274.3890,1.6149,1274.3890,1.6149
9,run_id:2,FD003_1-->FD002_0.6,59.8408,26.6444,0.0518,26.6444,0.0518,106396.9542,6891.3209,210.6612,6891.3209,210.6612
10,run_id:2,FD003_1-->FD004_0.6,49.9123,25.8908,0.3319,25.8908,0.3319,54345.1035,5158.1921,217.1691,5158.1921,217.1691
11,run_id:2,FD004_1-->FD001_0.6,42.5809,20.7362,0.0237,20.7362,0.0237,9574.1148,1324.5864,5.8300,1324.5864,5.8300
12,run_id:2,FD004_1-->FD002_0.6,46.2924,21.2510,0.0791,21.2510,0.0791,28765.9884,2692.6586,45.0635,2692.6586,45.0635
13,run_id:2,FD004_1-->FD003_0.6,46.2085,20.4408,0.0567,20.4408,0.0567,11121.5841,1171.7244,17.5079,1171.7244,17.5079
