,0,1,2,3,4,5,6,7,8,9,10,11
0,my_alg,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:2,FD001_1-->FD002_0.6,59.2325,35.3819,0.0120,35.3819,0.0120,147058.9301,16422.9038,308.1884,16422.9038,308.1884
3,run_id:2,FD001_1-->FD003_0.6,73.1836,46.1523,0.0190,46.1523,0.0190,159686.5553,27186.2507,169.1646,27186.2507,169.1646
4,run_id:2,FD001_1-->FD004_0.6,61.4324,35.6346,0.1139,35.6346,0.1139,162458.1820,24911.6303,351.2222,24911.6303,351.2222
5,run_id:2,FD002_1-->FD001_0.6,56.9371,28.5618,0.1959,28.5618,0.1959,26725.2214,2413.4334,10.7692,2413.4334,10.7692
6,run_id:2,FD002_1-->FD003_0.6,59.3989,32.3306,0.0193,32.3306,0.0193,40009.6211,3238.6918,15.6026,3238.6918,15.6026
7,run_id:2,FD002_1-->FD004_0.6,58.7525,33.8875,0.1117,33.8875,0.1117,117236.3133,15331.0221,322.4248,15331.0221,322.4248
8,run_id:2,FD003_1-->FD001_0.6,55.4561,25.8214,0.3575,25.8214,0.3575,20966.5128,1613.7820,65.7880,1613.7820,65.7880
9,run_id:2,FD003_1-->FD002_0.6,59.8408,35.6608,0.1276,35.6608,0.1276,106396.9542,13319.8091,223.0587,13319.8091,223.0587
10,run_id:2,FD003_1-->FD004_0.6,49.9123,31.7680,0.2716,31.7680,0.2716,54345.1035,12051.1337,111.5371,12051.1337,111.5371
11,run_id:2,FD004_1-->FD001_0.6,42.5809,24.1780,0.0086,24.1780,0.0086,9574.1148,1954.0986,1.8241,1954.0986,1.8241
12,run_id:2,FD004_1-->FD002_0.6,46.2924,26.2172,0.0152,26.2172,0.0152,28765.9884,4920.2889,12.3564,4920.2889,12.3564
13,run_id:2,FD004_1-->FD003_0.6,46.2085,25.7861,0.1106,25.7861,0.1106,11121.5841,1995.8846,18.5449,1995.8846,18.5449
