,0,1,2,3,4,5,6,7,8,9,10,11
0,my_alg,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:0,FD001_1-->FD002_0.6,59.2325,29.8336,0.0000,29.8336,0.0000,147058.9301,5278.2340,0.0000,5278.2340,0.0000
3,run_id:0,FD001_1-->FD003_0.6,73.1836,45.0175,0.0000,45.0175,0.0000,159686.5553,21198.9628,0.0000,21198.9628,0.0000
4,run_id:0,FD001_1-->FD004_0.6,61.4324,32.0598,0.0000,32.0598,0.0000,162458.1820,11872.5232,0.0000,11872.5232,0.0000
5,run_id:0,FD002_1-->FD001_0.6,56.9371,25.7469,0.0000,25.7469,0.0000,26725.2214,1345.2461,0.0000,1345.2461,0.0000
6,run_id:0,FD002_1-->FD003_0.6,59.3989,29.3571,0.0000,29.3571,0.0000,40009.6211,1701.3175,0.0000,1701.3175,0.0000
7,run_id:0,FD002_1-->FD004_0.6,58.7525,26.4526,0.0000,26.4526,0.0000,117236.3133,3692.6221,0.0000,3692.6221,0.0000
8,run_id:0,FD003_1-->FD001_0.6,55.4561,23.1323,0.0000,23.1323,0.0000,20966.5128,1271.1046,0.0000,1271.1046,0.0000
9,run_id:0,FD003_1-->FD002_0.6,59.8408,28.9800,0.0000,28.9800,0.0000,106396.9542,7507.8978,0.0000,7507.8978,0.0000
10,run_id:0,FD003_1-->FD004_0.6,49.9123,26.3136,0.0000,26.3136,0.0000,54345.1035,7116.0972,0.0000,7116.0972,0.0000
11,run_id:0,FD004_1-->FD001_0.6,42.5809,21.0605,0.0000,21.0605,0.0000,9574.1148,1456.8845,0.0000,1456.8845,0.0000
12,run_id:0,FD004_1-->FD002_0.6,46.2924,23.1500,0.0000,23.1500,0.0000,28765.9884,3169.4263,0.0000,3169.4263,0.0000
13,run_id:0,FD004_1-->FD003_0.6,46.2085,20.7053,0.0000,20.7053,0.0000,11121.5841,1329.9131,0.0000,1329.9131,0.0000
