,0,1,2,3,4,5,6,7,8,9,10,11
0,EviAdapt,,,,,,,,,,,
1,run_id,scenario,src_only_loss,mean_loss,std_loss,best_mean_loss,best_std_loss,src_only_score,mean_score,std_score,best_mean_score,best_std_score
2,run_id:4,FD001_1-->FD002_0.6,63.4472,24.4922,0.1354,24.9881,0.6175,188313.4217,7424.9216,628.3086,4360.4886,154.8266
3,run_id:4,FD001_1-->FD003_0.6,71.3147,37.4218,0.2623,40.4195,1.7954,128701.5585,29193.1717,3514.6508,21016.4871,1293.5821
4,run_id:4,FD001_1-->FD004_0.6,63.4178,36.0906,0.1546,33.0172,0.1928,176274.1892,22134.8883,2006.9772,10672.6193,221.3958
5,run_id:4,FD002_1-->FD001_0.6,58.2482,21.8249,0.2805,21.6015,0.1948,29274.8036,690.5620,24.2645,675.3868,25.8746
6,run_id:4,FD002_1-->FD003_0.6,58.2638,30.6147,0.2188,28.5175,0.1467,37193.2459,3360.3623,373.3387,2249.4384,41.7385
7,run_id:4,FD002_1-->FD004_0.6,59.2439,35.8327,0.3636,30.4568,0.0562,126612.0686,18327.3632,2193.1324,6160.2583,123.9265
8,run_id:4,FD003_1-->FD001_0.6,46.1602,19.9959,0.3978,19.1193,0.3153,11047.5271,1012.6969,135.5813,873.7091,43.7616
9,run_id:4,FD003_1-->FD002_0.6,44.2385,22.1009,0.4135,21.6757,0.1345,37444.5987,7731.9198,850.4387,5316.6870,352.1257
10,run_id:4,FD003_1-->FD004_0.6,36.9737,36.6274,0.0715,26.0519,0.6448,17973.2824,31927.7874,711.7352,5512.2473,493.2091
11,run_id:4,FD004_1-->FD001_0.6,44.4830,30.8172,0.5199,24.5482,0.0324,10345.7623,10777.6596,1432.8249,1994.9343,10.9231
12,run_id:4,FD004_1-->FD002_0.6,47.3530,24.7392,0.2079,22.3779,0.3792,36411.2077,4796.4460,174.1703,3469.4077,80.1307
13,run_id:4,FD004_1-->FD003_0.6,46.1364,31.2990,0.5336,22.5650,0.1387,10975.7916,10338.8392,1733.7351,1123.8867,11.5840
